job_title,company,city,job_type,experience_level,min_experience_years,salary_pkr_k,required_skills,education,job_description,benefits,date_posted,company_tier,is_ai_ml_role
Lead Machine Learning Engineer,Netsol,Karachi,Contract,Mid,4.9,540,"TensorFlow, PyTorch, Python, Docker, MLOps, BERT",PhD,"We are hiring a Lead Machine Learning Engineer to join our team. 
        Required skills: TensorFlow, PyTorch, Python, Docker, MLOps, BERT.
        Experience required: 4.9+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Medical Coverage, Transport Allowance, Flexible Hours",2024-09-15,MNC,True
Data Scientist,10Pearls,Islamabad,Full-time,Junior,0.3,220,"AWS, SQL, Python, Git, Statistics, Machine Learning, MongoDB, Data Visualization",Not Specified,"We are hiring a Data Scientist to join our team. 
        Required skills: AWS, SQL, Python, Git, Statistics, Machine Learning, MongoDB, Data Visualization.
        Experience required: 0.3+ years.
        This is a Freelance position.
        Education: PhD preferred.","Performance Bonus, Medical Coverage",2024-06-25,MNC,True
Machine Learning Engineer,Netsol,Faisalabad,Contract,Mid,4.1,345,"Node.js, FastAPI, TensorFlow, PyTorch, Python, LLMs, Docker, MLOps",Masters,"We are hiring a Machine Learning Engineer to join our team. 
        Required skills: Node.js, FastAPI, TensorFlow, PyTorch, Python, LLMs, Docker, MLOps.
        Experience required: 4.1+ years.
        This is a Full-time position.
        Education: Bachelors preferred.","Professional Development, Performance Bonus, Food Allowance, Annual Bonus, Stock Options",2025-03-13,MNC,True
DevOps Engineer,Arbisoft,Lahore,Contract,Senior,6.1,305,"Kubernetes, AWS, Flask, PyTorch, MLflow, CI/CD, Docker, Linux",Not Specified,"We are hiring a DevOps Engineer to join our team. 
        Required skills: Kubernetes, AWS, Flask, PyTorch, MLflow, CI/CD, Docker, Linux.
        Experience required: 6.1+ years.
        This is a Freelance position.
        Education: PhD preferred.","Flexible Hours, Health Insurance",2024-04-22,Tier1,False
Junior DevOps Engineer,10Pearls,Lahore,Full-time,Mid,3.6,315,"AWS, Kubernetes, Node.js, PyTorch, CI/CD, Docker, Linux, Git",Bachelors,"We are hiring a Junior DevOps Engineer to join our team. 
        Required skills: AWS, Kubernetes, Node.js, PyTorch, CI/CD, Docker, Linux, Git.
        Experience required: 3.6+ years.
        This is a Freelance position.
        Education: Not Specified preferred.","Food Allowance, Flexible Hours, Stock Options, Professional Development, Medical Coverage",2025-01-17,MNC,False
Machine Learning Engineer,10Pearls,Islamabad,Full-time,Mid,2.4,315,"TensorFlow, Flask, PyTorch, Python, Docker, MLOps, BERT",Not Specified,"We are hiring a Machine Learning Engineer to join our team. 
        Required skills: TensorFlow, Flask, PyTorch, Python, Docker, MLOps, BERT.
        Experience required: 2.4+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Food Allowance, Annual Bonus, Professional Development, Flexible Hours",2024-12-14,MNC,True
Data Scientist,Folio3,Hybrid (Lahore),Contract,Mid,4.4,320,"Node.js, SQL, Python, LLMs, PostgreSQL, Statistics, Machine Learning, Data Visualization",Masters,"We are hiring a Data Scientist to join our team. 
        Required skills: Node.js, SQL, Python, LLMs, PostgreSQL, Statistics, Machine Learning, Data Visualization.
        Experience required: 4.4+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Performance Bonus, Health Insurance, Annual Bonus, Stock Options",2025-02-02,Tier1,True
Data Scientist,Folio3,Hybrid (Karachi),Contract,Mid,2.1,320,"Node.js, FastAPI, Flask, MLflow, Python, Statistics, Machine Learning, Data Visualization",PhD,"We are hiring a Data Scientist to join our team. 
        Required skills: Node.js, FastAPI, Flask, MLflow, Python, Statistics, Machine Learning, Data Visualization.
        Experience required: 2.1+ years.
        This is a Freelance position.
        Education: Not Specified preferred.","Medical Coverage, Flexible Hours, Professional Development",2024-09-27,Tier1,True
Business Intelligence Developer,Folio3,Faisalabad,Full-time,Junior,1.9,300,"Kubernetes, SQL, Flask, Power BI, Data Warehouse, Excel, Docker, React",Masters,"We are hiring a Business Intelligence Developer to join our team. 
        Required skills: Kubernetes, SQL, Flask, Power BI, Data Warehouse, Excel, Docker, React.
        Experience required: 1.9+ years.
        This is a Full-time position.
        Education: Bachelors preferred.","Annual Bonus, Health Insurance, Food Allowance",2024-01-04,Tier1,False
DevOps Engineer,10Pearls,Rawalpindi,Contract,Mid,2.3,340,"Kubernetes, AWS, PyTorch, CI/CD, Docker, Linux, MongoDB",Bachelors,"We are hiring a DevOps Engineer to join our team. 
        Required skills: Kubernetes, AWS, PyTorch, CI/CD, Docker, Linux, MongoDB.
        Experience required: 2.3+ years.
        This is a Contract position.
        Education: Not Specified preferred.","Health Insurance, Annual Bonus, Remote Work, Flexible Hours, Food Allowance",2024-06-30,MNC,False
