job_title,company,city,job_type,experience_level,min_experience_years,salary_pkr_k,required_skills,education,job_description,benefits,date_posted,company_tier,is_ai_ml_role,job_title_clean,required_skills_clean,skill_list,skill_count,description_clean,year_posted,month_posted,quarter,location_type,city_clean,salary_band
Lead Machine Learning Engineer,Netsol,Karachi,Contract,Mid,4.9,540,"TensorFlow, PyTorch, Python, Docker, MLOps, BERT",PhD,"We are hiring a Lead Machine Learning Engineer to join our team. 
        Required skills: TensorFlow, PyTorch, Python, Docker, MLOps, BERT.
        Experience required: 4.9+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Medical Coverage, Transport Allowance, Flexible Hours",2024-09-15,MNC,False,Lead Machine Learning Engineer,"TensorFlow, PyTorch, Python, Docker, MLOps, BERT","['TensorFlow', 'PyTorch', 'Python', 'Docker', 'MLOps', 'BERT']",6,hiring lead machine learning engineer join team required skills tensorflow pytorch python docker mlops bert experience required 4 9 years freelance position education bachelors preferred,2024,9,3,On-site,Karachi,Lead (220k+)
Data Scientist,10Pearls,Islamabad,Full-time,Junior,0.3,220,"AWS, SQL, Python, Git, Statistics, Machine Learning, MongoDB, Data Visualization",Not Specified,"We are hiring a Data Scientist to join our team. 
        Required skills: AWS, SQL, Python, Git, Statistics, Machine Learning, MongoDB, Data Visualization.
        Experience required: 0.3+ years.
        This is a Freelance position.
        Education: PhD preferred.","Performance Bonus, Medical Coverage",2024-06-25,MNC,True,Data Scientist,"Cloud (AWS/GCP), SQL, Python, Git, Statistics, Machine Learning, MongoDB, Data Visualization","['Cloud (AWS/GCP)', 'SQL', 'Python', 'Git', 'Statistics', 'Machine Learning', 'MongoDB', 'Data Visualization']",8,hiring data scientist join team required skills aws sql python git statistics machine learning mongodb data visualization experience required 0 3 years freelance position education phd preferred,2024,6,2,On-site,Islamabad,Lead (220k+)
Machine Learning Engineer,Netsol,Faisalabad,Contract,Mid,4.1,345,"Node.js, FastAPI, TensorFlow, PyTorch, Python, LLMs, Docker, MLOps",Masters,"We are hiring a Machine Learning Engineer to join our team. 
        Required skills: Node.js, FastAPI, TensorFlow, PyTorch, Python, LLMs, Docker, MLOps.
        Experience required: 4.1+ years.
        This is a Full-time position.
        Education: Bachelors preferred.","Professional Development, Performance Bonus, Food Allowance, Annual Bonus, Stock Options",2025-03-13,MNC,True,Machine Learning Engineer,"Node.js, FastAPI, TensorFlow, PyTorch, Python, LLMs, Docker, MLOps","['Node.js', 'FastAPI', 'TensorFlow', 'PyTorch', 'Python', 'LLMs', 'Docker', 'MLOps']",8,hiring machine learning engineer join team required skills node js fastapi tensorflow pytorch python llms docker mlops experience required 4 1 years full time position education bachelors preferred,2025,3,1,On-site,Faisalabad,Lead (220k+)
DevOps Engineer,Arbisoft,Lahore,Contract,Senior,6.1,305,"Kubernetes, AWS, Flask, PyTorch, MLflow, CI/CD, Docker, Linux",Not Specified,"We are hiring a DevOps Engineer to join our team. 
        Required skills: Kubernetes, AWS, Flask, PyTorch, MLflow, CI/CD, Docker, Linux.
        Experience required: 6.1+ years.
        This is a Freelance position.
        Education: PhD preferred.","Flexible Hours, Health Insurance",2024-04-22,Tier1,False,DevOps Engineer,"Kubernetes, Cloud (AWS/GCP), Flask, PyTorch, MLflow, CI/CD, Docker, Linux","['Kubernetes', 'Cloud (AWS/GCP)', 'Flask', 'PyTorch', 'MLflow', 'CI/CD', 'Docker', 'Linux']",8,hiring devops engineer join team required skills kubernetes aws flask pytorch mlflow ci cd docker linux experience required 6 1 years freelance position education phd preferred,2024,4,2,On-site,Lahore,Lead (220k+)
Junior DevOps Engineer,10Pearls,Lahore,Full-time,Mid,3.6,315,"AWS, Kubernetes, Node.js, PyTorch, CI/CD, Docker, Linux, Git",Bachelors,"We are hiring a Junior DevOps Engineer to join our team. 
        Required skills: AWS, Kubernetes, Node.js, PyTorch, CI/CD, Docker, Linux, Git.
        Experience required: 3.6+ years.
        This is a Freelance position.
        Education: Not Specified preferred.","Food Allowance, Flexible Hours, Stock Options, Professional Development, Medical Coverage",2025-01-17,MNC,False,Junior DevOps Engineer,"Cloud (AWS/GCP), Kubernetes, Node.js, PyTorch, CI/CD, Docker, Linux, Git","['Cloud (AWS/GCP)', 'Kubernetes', 'Node.js', 'PyTorch', 'CI/CD', 'Docker', 'Linux', 'Git']",8,hiring junior devops engineer join team required skills aws kubernetes node js pytorch ci cd docker linux git experience required 3 6 years freelance position education not specified preferred,2025,1,1,On-site,Lahore,Lead (220k+)
Machine Learning Engineer,10Pearls,Islamabad,Full-time,Mid,2.4,315,"TensorFlow, Flask, PyTorch, Python, Docker, MLOps, BERT",Not Specified,"We are hiring a Machine Learning Engineer to join our team. 
        Required skills: TensorFlow, Flask, PyTorch, Python, Docker, MLOps, BERT.
        Experience required: 2.4+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Food Allowance, Annual Bonus, Professional Development, Flexible Hours",2024-12-14,MNC,True,Machine Learning Engineer,"TensorFlow, Flask, PyTorch, Python, Docker, MLOps, BERT","['TensorFlow', 'Flask', 'PyTorch', 'Python', 'Docker', 'MLOps', 'BERT']",7,hiring machine learning engineer join team required skills tensorflow flask pytorch python docker mlops bert experience required 2 4 years freelance position education bachelors preferred,2024,12,4,On-site,Islamabad,Lead (220k+)
Data Scientist,Folio3,Hybrid (Lahore),Contract,Mid,4.4,320,"Node.js, SQL, Python, LLMs, PostgreSQL, Statistics, Machine Learning, Data Visualization",Masters,"We are hiring a Data Scientist to join our team. 
        Required skills: Node.js, SQL, Python, LLMs, PostgreSQL, Statistics, Machine Learning, Data Visualization.
        Experience required: 4.4+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Performance Bonus, Health Insurance, Annual Bonus, Stock Options",2025-02-02,Tier1,True,Data Scientist,"Node.js, SQL, Python, LLMs, PostgreSQL, Statistics, Machine Learning, Data Visualization","['Node.js', 'SQL', 'Python', 'LLMs', 'PostgreSQL', 'Statistics', 'Machine Learning', 'Data Visualization']",8,hiring data scientist join team required skills node js sql python llms postgresql statistics machine learning data visualization experience required 4 4 years freelance position education bachelors preferred,2025,2,1,Hybrid,Lahore,Lead (220k+)
Data Scientist,Folio3,Hybrid (Karachi),Contract,Mid,2.1,320,"Node.js, FastAPI, Flask, MLflow, Python, Statistics, Machine Learning, Data Visualization",PhD,"We are hiring a Data Scientist to join our team. 
        Required skills: Node.js, FastAPI, Flask, MLflow, Python, Statistics, Machine Learning, Data Visualization.
        Experience required: 2.1+ years.
        This is a Freelance position.
        Education: Not Specified preferred.","Medical Coverage, Flexible Hours, Professional Development",2024-09-27,Tier1,True,Data Scientist,"Node.js, FastAPI, Flask, MLflow, Python, Statistics, Machine Learning, Data Visualization","['Node.js', 'FastAPI', 'Flask', 'MLflow', 'Python', 'Statistics', 'Machine Learning', 'Data Visualization']",8,hiring data scientist join team required skills node js fastapi flask mlflow python statistics machine learning data visualization experience required 2 1 years freelance position education not specified preferred,2024,9,3,Hybrid,Karachi,Lead (220k+)
Business Intelligence Developer,Folio3,Faisalabad,Full-time,Junior,1.9,300,"Kubernetes, SQL, Flask, Power BI, Data Warehouse, Excel, Docker, React",Masters,"We are hiring a Business Intelligence Developer to join our team. 
        Required skills: Kubernetes, SQL, Flask, Power BI, Data Warehouse, Excel, Docker, React.
        Experience required: 1.9+ years.
        This is a Full-time position.
        Education: Bachelors preferred.","Annual Bonus, Health Insurance, Food Allowance",2024-01-04,Tier1,False,Business Intelligence Developer,"Kubernetes, SQL, Flask, Power BI, Data Warehouse, Excel, Docker, React","['Kubernetes', 'SQL', 'Flask', 'Power BI', 'Data Warehouse', 'Excel', 'Docker', 'React']",8,hiring business intelligence developer join team required skills kubernetes sql flask power bi data warehouse excel docker react experience required 1 9 years full time position education bachelors preferred,2024,1,1,On-site,Faisalabad,Lead (220k+)
DevOps Engineer,10Pearls,Rawalpindi,Contract,Mid,2.3,340,"Kubernetes, AWS, PyTorch, CI/CD, Docker, Linux, MongoDB",Bachelors,"We are hiring a DevOps Engineer to join our team. 
        Required skills: Kubernetes, AWS, PyTorch, CI/CD, Docker, Linux, MongoDB.
        Experience required: 2.3+ years.
        This is a Contract position.
        Education: Not Specified preferred.","Health Insurance, Annual Bonus, Remote Work, Flexible Hours, Food Allowance",2024-06-30,MNC,False,DevOps Engineer,"Kubernetes, Cloud (AWS/GCP), PyTorch, CI/CD, Docker, Linux, MongoDB","['Kubernetes', 'Cloud (AWS/GCP)', 'PyTorch', 'CI/CD', 'Docker', 'Linux', 'MongoDB']",7,hiring devops engineer join team required skills kubernetes aws pytorch ci cd docker linux mongodb experience required 2 3 years contract position education not specified preferred,2024,6,2,On-site,Rawalpindi,Lead (220k+)
Full Stack Developer,Techlogix,Hybrid (Karachi),Full-time,Junior,1.0,195,"Node.js, SQL, PyTorch, JavaScript, Python, React, BERT",Masters,"We are hiring a Full Stack Developer to join our team. 
        Required skills: Node.js, SQL, PyTorch, JavaScript, Python, React, BERT.
        Experience required: 1.0+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Medical Coverage, Health Insurance",2024-08-14,Tier1,False,Full Stack Developer,"Node.js, SQL, PyTorch, JavaScript, Python, React, BERT","['Node.js', 'SQL', 'PyTorch', 'JavaScript', 'Python', 'React', 'BERT']",7,hiring full stack developer join team required skills node js sql pytorch javascript python react bert experience required 1 0 years freelance position education bachelors preferred,2024,8,3,Hybrid,Karachi,Senior (150–220k)
Data Analyst,Folio3,Hybrid (Islamabad),Full-time,Junior,1.3,175,"Node.js, SQL, Power BI, Python, Excel, Docker, MongoDB, Data Visualization",Bachelors,"We are hiring a Data Analyst to join our team. 
        Required skills: Node.js, SQL, Power BI, Python, Excel, Docker, MongoDB, Data Visualization.
        Experience required: 1.3+ years.
        This is a Contract position.
        Education: PhD preferred.","Medical Coverage, Performance Bonus, Stock Options, Annual Bonus, Remote Work",2025-02-05,Tier1,False,Data Analyst,"Node.js, SQL, Power BI, Python, Excel, Docker, MongoDB, Data Visualization","['Node.js', 'SQL', 'Power BI', 'Python', 'Excel', 'Docker', 'MongoDB', 'Data Visualization']",8,hiring data analyst join team required skills node js sql power bi python excel docker mongodb data visualization experience required 1 3 years contract position education phd preferred,2025,2,1,Hybrid,Islamabad,Senior (150–220k)
Senior Data Scientist,Systems Ltd,Remote,Freelance,Mid,2.6,485,"AWS, TensorFlow, Flask, Python, Git, Statistics, Machine Learning, Data Visualization",Bachelors,"We are hiring a Senior Data Scientist to join our team. 
        Required skills: AWS, TensorFlow, Flask, Python, Git, Statistics, Machine Learning, Data Visualization.
        Experience required: 2.6+ years.
        This is a Full-time position.
        Education: Not Specified preferred.","Remote Work, Flexible Hours",2024-12-11,MNC,True,Data Scientist,"Cloud (AWS/GCP), TensorFlow, Flask, Python, Git, Statistics, Machine Learning, Data Visualization","['Cloud (AWS/GCP)', 'TensorFlow', 'Flask', 'Python', 'Git', 'Statistics', 'Machine Learning', 'Data Visualization']",8,hiring senior data scientist join team required skills aws tensorflow flask python git statistics machine learning data visualization experience required 2 6 years full time position education not specified preferred,2024,12,4,Remote,Remote,Lead (220k+)
Junior Machine Learning Engineer,Arbisoft,Hybrid (Islamabad),Full-time,Senior,9.5,740,"Node.js, FastAPI, TensorFlow, PyTorch, Python, Docker, MongoDB, MLOps",Masters,"We are hiring a Junior Machine Learning Engineer to join our team. 
        Required skills: Node.js, FastAPI, TensorFlow, PyTorch, Python, Docker, MongoDB, MLOps.
        Experience required: 9.5+ years.
        This is a Contract position.
        Education: Bachelors preferred.","Performance Bonus, Annual Bonus",2024-08-22,Tier1,False,Junior Machine Learning Engineer,"Node.js, FastAPI, TensorFlow, PyTorch, Python, Docker, MongoDB, MLOps","['Node.js', 'FastAPI', 'TensorFlow', 'PyTorch', 'Python', 'Docker', 'MongoDB', 'MLOps']",8,hiring junior machine learning engineer join team required skills node js fastapi tensorflow pytorch python docker mongodb mlops experience required 9 5 years contract position education bachelors preferred,2024,8,3,Hybrid,Islamabad,Lead (220k+)
DevOps Engineer,Techlogix,Islamabad,Full-time,Junior,0.4,175,"Kubernetes, AWS, Flask, PyTorch, CI/CD, Docker, Airflow, BERT",Masters,"We are hiring a DevOps Engineer to join our team. 
        Required skills: Kubernetes, AWS, Flask, PyTorch, CI/CD, Docker, Airflow, BERT.
        Experience required: 0.4+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Annual Bonus, Stock Options, Professional Development, Health Insurance",2025-02-17,Tier1,False,DevOps Engineer,"Kubernetes, Cloud (AWS/GCP), Flask, PyTorch, CI/CD, Docker, Airflow, BERT","['Kubernetes', 'Cloud (AWS/GCP)', 'Flask', 'PyTorch', 'CI/CD', 'Docker', 'Airflow', 'BERT']",8,hiring devops engineer join team required skills kubernetes aws flask pytorch ci cd docker airflow bert experience required 0 4 years freelance position education bachelors preferred,2025,2,1,On-site,Islamabad,Senior (150–220k)
Associate DevOps Engineer,Arbisoft,Hybrid (Lahore),Freelance,Mid,2.8,375,"AWS, Kubernetes, Flask, PyTorch, CI/CD, Docker, Linux, BERT",PhD,"We are hiring a Associate DevOps Engineer to join our team. 
        Required skills: AWS, Kubernetes, Flask, PyTorch, CI/CD, Docker, Linux, BERT.
        Experience required: 2.8+ years.
        This is a Contract position.
        Education: Bachelors preferred.","Food Allowance, Stock Options",2025-02-28,Tier1,False,Associate DevOps Engineer,"Cloud (AWS/GCP), Kubernetes, Flask, PyTorch, CI/CD, Docker, Linux, BERT","['Cloud (AWS/GCP)', 'Kubernetes', 'Flask', 'PyTorch', 'CI/CD', 'Docker', 'Linux', 'BERT']",8,hiring associate devops engineer join team required skills aws kubernetes flask pytorch ci cd docker linux bert experience required 2 8 years contract position education bachelors preferred,2025,2,1,Hybrid,Lahore,Lead (220k+)
Data Analyst,Contour,Rawalpindi,Full-time,Junior,1.1,165,"AWS, SQL, Power BI, Excel, Python, PostgreSQL, BERT, Data Visualization",PhD,"We are hiring a Data Analyst to join our team. 
        Required skills: AWS, SQL, Power BI, Excel, Python, PostgreSQL, BERT, Data Visualization.
        Experience required: 1.1+ years.
        This is a Contract position.
        Education: Masters preferred.","Professional Development, Food Allowance",2024-03-16,Tier2,False,Data Analyst,"Cloud (AWS/GCP), SQL, Power BI, Excel, Python, PostgreSQL, BERT, Data Visualization","['Cloud (AWS/GCP)', 'SQL', 'Power BI', 'Excel', 'Python', 'PostgreSQL', 'BERT', 'Data Visualization']",8,hiring data analyst join team required skills aws sql power bi excel python postgresql bert data visualization experience required 1 1 years contract position education masters preferred,2024,3,1,On-site,Rawalpindi,Senior (150–220k)
Full Stack Developer,Systems Ltd,Hybrid (Karachi),Freelance,Junior,2.0,280,"Node.js, SQL, PyTorch, JavaScript, Python, LLMs, React, PostgreSQL",Bachelors,"We are hiring a Full Stack Developer to join our team. 
        Required skills: Node.js, SQL, PyTorch, JavaScript, Python, LLMs, React, PostgreSQL.
        Experience required: 2.0+ years.
        This is a Full-time position.
        Education: Masters preferred.","Transport Allowance, Flexible Hours, Professional Development, Annual Bonus",2024-07-30,MNC,False,Full Stack Developer,"Node.js, SQL, PyTorch, JavaScript, Python, LLMs, React, PostgreSQL","['Node.js', 'SQL', 'PyTorch', 'JavaScript', 'Python', 'LLMs', 'React', 'PostgreSQL']",8,hiring full stack developer join team required skills node js sql pytorch javascript python llms react postgresql experience required 2 0 years full time position education masters preferred,2024,7,3,Hybrid,Karachi,Lead (220k+)
AI Research Engineer,Techlogix,Karachi,Freelance,Junior,1.6,475,"FastAPI, PyTorch, MLflow, Python, Deep Learning, Docker, BERT",PhD,"We are hiring a AI Research Engineer to join our team. 
        Required skills: FastAPI, PyTorch, MLflow, Python, Deep Learning, Docker, BERT.
        Experience required: 1.6+ years.
        This is a Contract position.
        Education: Bachelors preferred.","Food Allowance, Medical Coverage, Transport Allowance, Remote Work",2024-06-17,Tier1,True,AI Research Engineer,"FastAPI, PyTorch, MLflow, Python, Deep Learning, Docker, BERT","['FastAPI', 'PyTorch', 'MLflow', 'Python', 'Deep Learning', 'Docker', 'BERT']",7,hiring ai research engineer join team required skills fastapi pytorch mlflow python deep learning docker bert experience required 1 6 years contract position education bachelors preferred,2024,6,2,On-site,Karachi,Lead (220k+)
Data Scientist,Netsol,Lahore,Contract,Senior,5.4,345,"TensorFlow, SQL, Airflow, Python, LLMs, Statistics, Machine Learning, Data Visualization",Bachelors,"We are hiring a Data Scientist to join our team. 
        Required skills: TensorFlow, SQL, Airflow, Python, LLMs, Statistics, Machine Learning, Data Visualization.
        Experience required: 5.4+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Remote Work, Flexible Hours, Professional Development, Health Insurance, Food Allowance",2024-11-06,MNC,True,Data Scientist,"TensorFlow, SQL, Airflow, Python, LLMs, Statistics, Machine Learning, Data Visualization","['TensorFlow', 'SQL', 'Airflow', 'Python', 'LLMs', 'Statistics', 'Machine Learning', 'Data Visualization']",8,hiring data scientist join team required skills tensorflow sql airflow python llms statistics machine learning data visualization experience required 5 4 years freelance position education bachelors preferred,2024,11,4,On-site,Lahore,Lead (220k+)
Full Stack Developer,10Pearls,Remote,Freelance,Senior,8.1,320,"Node.js, Kubernetes, SQL, Flask, MLflow, JavaScript, Python",Masters,"We are hiring a Full Stack Developer to join our team. 
        Required skills: Node.js, Kubernetes, SQL, Flask, MLflow, JavaScript, Python.
        Experience required: 8.1+ years.
        This is a Freelance position.
        Education: PhD preferred.","Flexible Hours, Transport Allowance, Medical Coverage",2024-07-25,MNC,False,Full Stack Developer,"Node.js, Kubernetes, SQL, Flask, MLflow, JavaScript, Python","['Node.js', 'Kubernetes', 'SQL', 'Flask', 'MLflow', 'JavaScript', 'Python']",7,hiring full stack developer join team required skills node js kubernetes sql flask mlflow javascript python experience required 8 1 years freelance position education phd preferred,2024,7,3,Remote,Remote,Lead (220k+)
DevOps Engineer,Arbisoft,Hybrid (Islamabad),Freelance,Mid,3.0,395,"Kubernetes, AWS, FastAPI, MLflow, PyTorch, CI/CD, Docker, BERT",PhD,"We are hiring a DevOps Engineer to join our team. 
        Required skills: Kubernetes, AWS, FastAPI, MLflow, PyTorch, CI/CD, Docker, BERT.
        Experience required: 3.0+ years.
        This is a Contract position.
        Education: Masters preferred.","Professional Development, Medical Coverage",2024-09-18,Tier1,False,DevOps Engineer,"Kubernetes, Cloud (AWS/GCP), FastAPI, MLflow, PyTorch, CI/CD, Docker, BERT","['Kubernetes', 'Cloud (AWS/GCP)', 'FastAPI', 'MLflow', 'PyTorch', 'CI/CD', 'Docker', 'BERT']",8,hiring devops engineer join team required skills kubernetes aws fastapi mlflow pytorch ci cd docker bert experience required 3 0 years contract position education masters preferred,2024,9,3,Hybrid,Islamabad,Lead (220k+)
